Variable,Description,Category,Change Type
HSSH032A,Electricity charges for owned principal residence,Shelter,No Longer Available
HSSH032B,Electricity charges for rented principal residence,Shelter,No Longer Available
HSSH045,"Electricity, water and fuel for owned vacation homes or other secondary residences",Shelter,No Longer Available
HSSH035,Heating oil,Shelter,No Longer Available
HSSH035A,Heating oil charges for owned principal residence,Shelter,No Longer Available
HSSH035B,Heating oil charges for rented principal residence,Shelter,No Longer Available
HSSH033,Natural gas,Shelter,No Longer Available
HSSH033A,Natural gas charges for owned principal residence,Shelter,No Longer Available
HSSH033B,Natural gas charges for rented principal residence,Shelter,No Longer Available
HSOI020Z,Non-contract work or hired labour for repairs and maintenance,Shelter,No Longer Available
HSSH036,Propane for heating and cooking,Shelter,No Longer Available
HSSH036A,Propane for heating and cooking for owned principal residence,Shelter,No Longer Available
HSSH036B,Propane for heating and cooking for rented principal residence,Shelter,No Longer Available
HSSH043,Property taxes and sewage charges for owned vacation homes or other secondary residences,Shelter,No Longer Available
HSSH046M,Real estate commissions paid for the sale and other expenses associated with vacation homes and other secondary residences,Shelter,No Longer Available
HSSH012,Repairs and maintenance to owned principal residence,Shelter,No Longer Available
HSSH012B,Repairs and maintenance to owned principal residence,Shelter,No Longer Available
HSSH031,Water and sewage,Shelter,No Longer Available
HSSH031A,Water and sewage charges for owned principal residence,Shelter,No Longer Available
HSSH031B,Water and sewage charges for rented principal residence,Shelter,No Longer Available
HSSH037,Wood and other fuel for heating and cooking,Shelter,No Longer Available
HSSH037A,Wood and other fuel for heating and cooking for owned principal residence,Shelter,No Longer Available
HSSH037B,Wood and other fuel for heating and cooking for rented principal residence,Shelter,No Longer Available
HSTA002A,Cigarettes,Tobacco and Alcohol,No Longer Available
HSTA002B,Other tobacco products and smokers' supplies,Tobacco and Alcohol,No Longer Available
HSTA001,Tobacco products and alcoholic beverages,Tobacco and Alcohol,No Longer Available
HSTR057,"Household moving, storage services and delivery services",Transportation,No Longer Available
HSTR037,"Other automobile, van and truck operation services",Transportation,No Longer Available
HSTR050,Public transportation,Transportation,No Longer Available
HSTR014M,Regular fees for leased trucks and vans,Transportation,No Longer Available
HSTR035,Security and communication services for vehicles,Transportation,No Longer Available
HSTR032,"Vehicle insurance premiums for automobiles, trucks and vans",Transportation,No Longer Available
